Region_Code;Region Name;Sub-region Code;Sub-region Name;ISO_alpha2_Code
9;Oceania;57;Micronesia;MP
9;Oceania;57;Micronesia;PW
9;Oceania;57;Micronesia;UM
9;Oceania;61;Polynesia;AS
9;Oceania;61;Polynesia;CK
9;Oceania;61;Polynesia;PF
9;Oceania;61;Polynesia;NU
9;Oceania;61;Polynesia;PN
9;Oceania;61;Polynesia;WS
9;Oceania;61;Polynesia;TK
9;Oceania;61;Polynesia;TO
9;Oceania;61;Polynesia;TV
9;Oceania;61;Polynesia;WF
