"","scientificName","countryCode","year"
"288","Capsicum annuum L.","SE",2001
"289","Capsicum annuum L.","SE",2002
"290","Capsicum annuum L.","SE",2000
"291","Capsicum annuum L.","SE",1998
"292","Capsicum annuum L.","SE",2000
"293","Capsicum annuum L.","SE",1999
"294","Capsicum annuum L.","SE",1999
"295","Capsicum annuum L.","SE",2001
"296","Capsicum annuum L.","SE",2000
"297","Capsicum annuum L.","SE",2001
"298","Capsicum annuum L.","SE",1997
"299","Capsicum annuum L.","SE",1999
"300","Capsicum annuum L.","SE",2000
"301","Capsicum annuum L.","SE",1998
"302","Capsicum annuum L.","SE",2002
"303","Capsicum annuum L.","SE",1999
"304","Capsicum annuum L.","SE",2002
"305","Capsicum annuum L.","SE",2000
"306","Capsicum annuum L.","SE",2001
"307","Capsicum annuum L.","SE",2001
"308","Capsicum annuum L.","SE",1997
"309","Capsicum annuum L.","SE",2001
"310","Capsicum annuum L.","SE",2002
"311","Capsicum annuum L.","SE",2002
"312","Capsicum annuum L.","SE",1997
"313","Capsicum annuum L.","SE",1999
"314","Capsicum annuum L.","SE",1999
"315","Capsicum annuum L.","SE",1998
"316","Capsicum annuum L.","SE",1999
"317","Capsicum annuum L.","SE",1999
"318","Capsicum annuum L.","SE",2003
"319","Capsicum annuum L.","SE",2006
"320","Capsicum annuum L.","SE",2006
"321","Capsicum annuum L.","SE",2006
"322","Capsicum annuum L.","SE",2006
"323","Capsicum annuum L.","SE",2006
"324","Capsicum annuum L.","SE",2006
"325","Capsicum annuum L.","SE",2006
"326","Capsicum annuum L.","SE",2006
"327","Capsicum annuum L.","SE",2006
"328","Capsicum annuum L.","SE",2005
"329","Capsicum annuum L.","SE",2004
"330","Capsicum annuum L.","SE",2004
"331","Capsicum annuum L.","SE",2005
"332","Capsicum annuum L.","SE",2005
"333","Capsicum annuum L.","SE",2005
"334","Capsicum annuum L.","SE",2005
"335","Capsicum annuum L.","SE",2005
"336","Capsicum annuum L.","SE",2005
"337","Capsicum annuum L.","SE",2005
"338","Capsicum annuum L.","SE",2001
"339","Capsicum annuum L.","SE",2000
"340","Capsicum annuum L.","SE",2002
"341","Capsicum annuum L.","SE",2004
"342","Capsicum annuum L.","SE",2002
"343","Capsicum annuum L.","SE",2002
"344","Capsicum annuum L.","SE",2002
"345","Capsicum annuum L.","SE",2004
"346","Capsicum annuum L.","SE",2004
"347","Capsicum annuum L.","SE",2004
"348","Capsicum annuum L.","SE",2004
"349","Capsicum annuum L.","SE",2004
"350","Capsicum annuum L.","SE",2004
"351","Capsicum annuum L.","SE",2004
"352","Capsicum annuum L.","SE",2004
"353","Capsicum annuum L.","SE",2004
"354","Capsicum annuum L.","SE",2004
"355","Capsicum annuum L.","SE",2004
"356","Capsicum annuum L.","SE",2004
"357","Capsicum annuum L.","SE",2004
"358","Capsicum annuum L.","SE",2003
"359","Capsicum annuum L.","SE",2003
"360","Capsicum annuum L.","SE",2003
"361","Capsicum annuum L.","SE",2003
"362","Capsicum annuum L.","SE",2003
"363","Capsicum annuum L.","SE",2003
"364","Capsicum annuum L.","SE",2003
"365","Capsicum annuum L.","SE",2003
"366","Capsicum annuum L.","SE",2003
"367","Capsicum annuum L.","MG",2003
"368","Capsicum frutescens L.","MZ",1948
"369","Capsicum frutescens L.","MZ",1948
"370","Capsicum annuum var. annuum","AO",1960
"371","Capsicum coccineum (Rusby) Hunz.","PE",2005
"372","Capsicum coccineum (Rusby) Hunz.","PE",2004
"373","Capsicum coccineum (Rusby) Hunz.","PE",2001
"374","Capsicum coccineum (Rusby) Hunz.","PE",2002
"375","Capsicum annuum L.","SE",2009
"376","Capsicum annuum L.","SE",1934
"377","Capsicum annuum L.","SE",2008
"378","Capsicum annuum L.","SE",1997
"379","Capsicum annuum L.","SE",1998
"380","Capsicum annuum L.","SE",2001
"381","Capsicum annuum L.","SE",2001
"382","Capsicum annuum L.","SE",2006
"383","Capsicum annuum L.","SE",1996
"384","Capsicum annuum L.","SE",1997
"385","Capsicum annuum L.","SE",1996
"386","Capsicum frutescens L.","MX",1979
"387","Capsicum frutescens L.","CO",2010
"388","Capsicum frutescens L.","CO",2009
"389","Capsicum chinense Jacq.","CO",2009
"390","Capsicum frutescens L.","CO",2007
"391","Capsicum frutescens L.","CO",2006
"392","Capsicum annuum L.","CO",2006
"393","Capsicum chinense Jacq.","CO",2006
"394","Capsicum chinense Jacq.","CO",2006
"395","Capsicum chinense Jacq.","CO",2006
"396","Capsicum chinense Jacq.","CO",2006
"397","Capsicum frutescens L.","CO",2006
"398","Capsicum annuum L.","CO",2002
"399","Capsicum annuum L.","CO",2002
"400","Capsicum baccatum L.","CO",2002
"401","Capsicum chinense Jacq.","CO",2002
"402","Capsicum frutescens L.","CO",2001
"403","Capsicum frutescens L.","CO",2000
"404","Capsicum frutescens L.","CO",2000
"405","Capsicum chinense Jacq.","CO",2000
"406","Capsicum frutescens L.","CO",1996
"407","Capsicum chinense Jacq.","CO",2000
"408","Capsicum chinense Jacq.","CO",2000
"409","Capsicum chinense Jacq.","CO",2000
"410","Capsicum frutescens L.","CO",2000
"411","Capsicum chinense Jacq.","CO",2000
"412","Capsicum chinense Jacq.","CO",2000
"413","Capsicum chinense Jacq.","CO",2000
"414","Capsicum chinense Jacq.","CO",2000
"415","Capsicum chinense Jacq.","CO",2000
"416","Capsicum chinense Jacq.","CO",1996
"417","Capsicum chinense Jacq.","CO",1996
"418","Capsicum chinense Jacq.","CO",1996
"419","Capsicum chinense Jacq.","CO",1996
"420","Capsicum chinense Jacq.","CO",1996
"421","Capsicum annuum L.","CO",1996
"422","Capsicum chinense Jacq.","CO",2000
"423","Capsicum chinense Jacq.","CO",2000
"424","Capsicum chinense Jacq.","CO",2000
"425","Capsicum chinense Jacq.","CO",2000
"426","Capsicum chinense Jacq.","CO",2000
"427","Capsicum chinense Jacq.","CO",2000
"428","Capsicum annuum L.","CO",2000
"429","Capsicum annuum L.","CO",2000
"430","Capsicum frutescens L.","CO",1996
"431","Capsicum frutescens L.","CO",1996
"432","Capsicum annuum L.","CO",1998
"433","Capsicum chinense Jacq.","CO",2000
"434","Capsicum frutescens L.","CO",2000
"435","Capsicum chinense Jacq.","CO",1996
"436","Capsicum chinense Jacq.","CO",1996
"437","Capsicum chinense Jacq.","CO",1996
"438","Capsicum annuum L.","CO",1996
"439","Capsicum chinense Jacq.","CO",2000
"440","Capsicum frutescens L.","CO",2000
"441","Capsicum chinense Jacq.","CO",2000
"442","Capsicum frutescens L.","CO",2000
"443","Capsicum annuum L.","CO",2000
"444","Capsicum chinense Jacq.","CO",2000
"445","Capsicum chinense Jacq.","CO",2000
"446","Capsicum frutescens L.","CO",1996
"447","Capsicum frutescens L.","CO",1996
"448","Capsicum frutescens L.","CO",1996
"449","Capsicum frutescens L.","CO",1996
"450","Capsicum annuum L.","CO",1996
"451","Capsicum L.","CO",1987
"452","Capsicum annuum L.","CO",1984
"453","Capsicum chinense Jacq.","CO",1984
"454","Capsicum chinense Jacq.","CO",1984
"455","Capsicum chinense Jacq.","CO",1984
"456","Capsicum chinense Jacq.","CO",1984
"457","Capsicum chinense Jacq.","CO",1984
"458","Capsicum chinense Jacq.","CO",1984
"459","Capsicum chinense Jacq.","CO",1984
"460","Capsicum chinense Jacq.","CO",1984
"461","Capsicum chinense Jacq.","CO",1984
"462","Capsicum chinense Jacq.","CO",1984
"463","Capsicum annuum L.","CO",1984
"464","Capsicum chinense Jacq.","CO",1984
"465","Capsicum chinense Jacq.","CO",1984
"466","Capsicum chinense Jacq.","CO",1984
"467","Capsicum frutescens L.","CO",1982
"468","Capsicum chinense Jacq.","CO",1982
"469","Capsicum chinense Jacq.","CO",1981
"470","Capsicum chinense Jacq.","CO",1981
"471","Capsicum chinense Jacq.","CO",1982
"472","Capsicum chinense Jacq.","CO",1982
"473","Capsicum chinense Jacq.","CO",1982
"474","Capsicum frutescens L.","CO",1982
"475","Capsicum annuum L.","JP",1995
"476","Capsicum annuum var. annuum","JP",1995
"477","Capsicum annuum var. annuum","JP",1995
"478","Capsicum annuum L.","JP",1995
"479","Capsicum annuum L.","JP",1995
"480","Capsicum annuum var. annuum","JP",1995
"481","Capsicum annuum var. annuum","JP",1995
"482","Capsicum annuum L.","JP",1995
"483","Capsicum annuum var. annuum","JP",1995
"484","Capsicum frutescens L.","JP",2007
"485","Capsicum frutescens L.","JP",2007
"486","Capsicum annuum L.","NL",2006
"487","Capsicum annuum var. glabriusculum (Dunal) Heiser & Pickersgill","BZ",2003
"488","Capsicum annuum L.","SE",1999
"489","Capsicum annuum L.","SE",1998
"490","Capsicum frutescens L.","PF",1988
"491","Capsicum frutescens L.","GA",2000
"492","Capsicum coccineum (Rusby) Hunz.","BO",1988
"493","Capsicum annuum L.","NC",1988
"494","Capsicum annuum L.","CM",1984
"495","Capsicum annuum L.","VE",1977
"496","Capsicum L.","GY",1994
"497","Capsicum L.","PR",1981
"498","Capsicum frutescens L.","ET",1964
"499","Capsicum baccatum L.","CU",1907
"500","Capsicum lanceolatum (Greenm.) C.V.Morton & Standl.","MX",1986
"501","Capsicum annuum var. annuum","CR",2002
"502","Capsicum annuum var. annuum","CR",2002
"503","Capsicum annuum var. annuum","CR",2002
"504","Capsicum annuum var. annuum","CR",1997
"505","Capsicum annuum var. annuum","CR",2002
"506","Capsicum annuum var. annuum","CR",2002
"507","Capsicum annuum var. annuum","CR",1995
"508","Capsicum annuum var. annuum","CR",1994
"509","Capsicum annuum var. annuum","CR",1995
"510","Capsicum annuum var. annuum","CR",1992
"511","Capsicum annuum var. annuum","CR",1992
"512","Capsicum annuum var. annuum","CR",1995
"513","Capsicum annuum var. annuum","CR",1995
"514","Capsicum annuum var. annuum","CR",1994
"515","Capsicum annuum var. annuum","CR",1994
"516","Capsicum annuum var. annuum","CR",1993
"517","Capsicum annuum var. annuum","CR",1994
"518","Capsicum annuum var. annuum","CR",1994
"519","Capsicum annuum var. annuum","CR",1994
"520","Capsicum annuum var. annuum","CR",1994
"521","Capsicum annuum var. annuum","CR",1990
"522","Capsicum annuum var. annuum","CR",1990
"523","Capsicum annuum var. annuum","CR",1991
"524","Capsicum annuum var. annuum","CR",1990
"525","Capsicum annuum var. annuum","CR",1990
"526","Capsicum annuum var. annuum","CR",1990
"527","Capsicum annuum var. annuum","CR",1990
"528","Capsicum annuum var. annuum","CR",1989
"529","Capsicum annuum var. annuum","CR",1989
"530","Capsicum annuum var. annuum","CR",1987
"531","Capsicum annuum var. annuum","CR",1978
"532","Capsicum annuum var. annuum","CR",1984
"533","Capsicum annuum var. annuum","CR",1982
"534","Capsicum L.","CR",1983
"535","Capsicum L.","CR",1983
"536","Capsicum L.","CR",1984
"537","Capsicum L.","CR",1984
"538","Capsicum L.","CR",1983
"539","Capsicum L.","CR",1983
