"","scientificName","countryCode","year"
"443","Ocimum basilicum L.","IN",1997
"444","Ocimum basilicum L.","NI",2014
"445","Ocimum basilicum L.","NI",2008
"446","Ocimum basilicum L.","US",2013
"447","Ocimum basilicum L.","US",2013
"448","Ocimum basilicum L.","IN",1974
"449","Ocimum basilicum L.","IN",1974
"450","Ocimum basilicum L.","IN",1974
"451","Ocimum basilicum L.","IN",1974
"452","Ocimum basilicum L.","IN",1969
"453","Ocimum basilicum L.","IN",1963
"454","Ocimum basilicum L.","IN",1963
"455","Ocimum basilicum L.","IN",1961
"456","Ocimum basilicum var. thyrsiflorum (L.) Benth.","IN",1968
"457","Ocimum basilicum L.","IN",1968
"458","Ocimum basilicum L.","IN",1962
"459","Ocimum basilicum L.","IN",1961
"460","Ocimum basilicum L.","IN",1962
"461","Ocimum basilicum L.","IN",2017
"462","Ocimum basilicum L.","IN",2017
"463","Ocimum basilicum L.","IN",2017
"464","Ocimum basilicum L.","IN",1977
"465","Ocimum basilicum L.","IN",2001
"466","Ocimum basilicum L.","IN",1958
"467","Ocimum basilicum L.","IN",1957
"468","Ocimum basilicum var. thyrsiflorum (L.) Benth.","IN",1976
"469","Ocimum basilicum L.","IN",2001
"470","Ocimum basilicum L.","IN",1957
"471","Ocimum basilicum L.","IN",1961
"472","Ocimum basilicum L.","IN",1957
"473","Ocimum basilicum L.","IN",1958
"474","Ocimum basilicum L.","IN",1960
"475","Ocimum basilicum L.","IN",1990
"476","Ocimum basilicum L.","IN",1977
"477","Ocimum basilicum L.","IN",1989
"478","Ocimum basilicum L.","BR",2015
"479","Ocimum basilicum L.","US",2023
"480","Ocimum basilicum L.","BR",2023
"481","Ocimum basilicum L.","MX",2022
"482","Ocimum basilicum L.","MX",2023
"483","Ocimum basilicum L.","PG",1981
"484","Ocimum basilicum L.","PG",1980
"485","Ocimum basilicum L.","PG",1969
"486","Ocimum basilicum L.","PG",1899
"487","Ocimum basilicum L.","PG",1918
"488","Ocimum basilicum L.","PG",1918
"489","Ocimum basilicum L.","PG",1968
"490","Ocimum basilicum L.","PG",1970
"491","Ocimum basilicum L.","US",2023
"492","Ocimum basilicum L.","CH",2022
"493","Ocimum basilicum L.","CH",2022
"494","Ocimum basilicum L.","BR",2022
"495","Ocimum basilicum L.","RU",2022
"496","Ocimum basilicum L.","US",2022
"497","Ocimum basilicum L.","PT",2020
"498","Ocimum basilicum L.","NG",2004
"499","Ocimum basilicum L.","KE",2022
"500","Ocimum basilicum L.","PR",2022
"501","Ocimum basilicum L.","MX",2022
"502","Ocimum basilicum L.","MQ",2022
"503","Ocimum basilicum L.","US",2022
"504","Ocimum basilicum L.","TT",2022
"505","Ocimum basilicum L.","SN",2022
"506","Ocimum basilicum L.","RO",2022
"507","Ocimum basilicum L.","BR",2022
"508","Ocimum basilicum L.","ES",2022
"509","Ocimum basilicum L.","US",2022
"510","Ocimum basilicum L.","US",2022
"511","Ocimum basilicum L.","ES",2022
"512","Ocimum basilicum L.","MY",2022
"513","Ocimum basilicum L.","BR",2022
"514","Ocimum basilicum L.","BR",2021
"515","Ocimum basilicum L.","NL",2022
"516","Ocimum basilicum L.","NL",2022
"517","Ocimum basilicum L.","SC",1981
"518","Ocimum basilicum L.","SC",2020
"519","Ocimum basilicum L.","PT",2020
"520","Ocimum basilicum L.","US",2016
"521","Ocimum basilicum var. purpurascens Benth.","IN",2012
"522","Ocimum basilicum L.","MX",2022
"523","Ocimum basilicum L.","PT",2020
"524","Ocimum basilicum L.","BE",2022
"525","Ocimum basilicum L.","PH",2021
"526","Ocimum basilicum L.","US",2020
"527","Ocimum basilicum L.","US",2020
"528","Ocimum basilicum L.","ZW",2022
"529","Ocimum basilicum L.","GH",2021
"530","Ocimum basilicum L.","CO",2021
"531","Ocimum basilicum L.","AU",2022
"532","Ocimum basilicum L.","ES",2020
"533","Ocimum basilicum L.","TW",2020
"534","Ocimum basilicum L.","CO",2020
"535","Ocimum basilicum L.","BS",2020
"536","Ocimum basilicum L.","SN",2020
"537","Ocimum basilicum L.","BR",2021
"538","Ocimum basilicum L.","PR",2022
"539","Ocimum basilicum L.","BR",2020
"540","Ocimum basilicum L.","BR",2020
"541","Ocimum basilicum L.","CO",2021
"542","Ocimum basilicum L.","BR",2022
"543","Ocimum basilicum L.","GR",2021
"544","Ocimum basilicum L.","BR",2021
"545","Ocimum basilicum L.","BR",2021
"546","Ocimum basilicum L.","GT",2020
"547","Ocimum basilicum L.","SX",2020
"548","Ocimum basilicum L.","ZA",2019
"549","Ocimum basilicum L.","BR",2021
"550","Ocimum basilicum L.","MG",2021
"551","Ocimum basilicum L.","IN",2020
"552","Ocimum basilicum L.","BR",2020
"553","Ocimum basilicum L.","NG",2021
"554","Ocimum basilicum L.","IN",2019
"555","Ocimum basilicum L.","BR",2021
"556","Ocimum basilicum L.","EC",2021
"557","Ocimum basilicum L.","MX",2020
"558","Ocimum basilicum L.","GP",2022
"559","Ocimum basilicum L.","TW",2020
"560","Ocimum basilicum L.","MQ",2020
"561","Ocimum basilicum L.","US",2022
"562","Ocimum basilicum L.","BR",2018
"563","Ocimum basilicum L.","BR",2018
"564","Ocimum basilicum L.","US",2021
"565","Ocimum basilicum L.","CO",2022
"566","Ocimum basilicum L.","BR",2019
"567","Ocimum basilicum L.","GR",2022
"568","Ocimum basilicum L.","IN",2022
"569","Ocimum basilicum L.","AO",2022
"570","Ocimum basilicum L.","BR",2021
"571","Ocimum basilicum L.","US",2020
"572","Ocimum basilicum L.","GR",2021
"573","Ocimum basilicum L.","BR",2018
"574","Ocimum basilicum L.","BR",2020
"575","Ocimum basilicum L.","GR",2021
"576","Ocimum basilicum L.","KZ",2021
"577","Ocimum basilicum L.","BR",2021
"578","Ocimum basilicum L.","VE",2020
"579","Ocimum basilicum L.","GR",2021
"580","Ocimum basilicum L.","BR",2021
"581","Ocimum basilicum L.","BR",2022
"582","Ocimum basilicum L.","VE",2021
"583","Ocimum basilicum L.","PH",2022
"584","Ocimum basilicum L.","BR",2017
"585","Ocimum basilicum L.","PH",2020
"586","Ocimum basilicum L.","CO",2020
"587","Ocimum basilicum L.","BR",2021
"588","Ocimum basilicum L.","BR",2021
"589","Ocimum basilicum L.","MQ",2020
"590","Ocimum basilicum L.","IN",2020
"591","Ocimum basilicum L.","LK",2022
"592","Ocimum basilicum L.","US",2022
"593","Ocimum basilicum L.","BR",2020
"594","Ocimum basilicum L.","MX",2021
"595","Ocimum basilicum L.","CR",2021
"596","Ocimum basilicum L.","ES",2020
"597","Ocimum basilicum L.","US",2020
"598","Ocimum basilicum L.","BR",2021
"599","Ocimum basilicum L.","ES",2020
"600","Ocimum basilicum L.","ZA",2021
"601","Ocimum basilicum L.","VE",2021
"602","Ocimum basilicum L.","MQ",2021
"603","Ocimum basilicum L.","US",2020
"604","Ocimum basilicum L.","MZ",2020
"605","Ocimum basilicum L.","BR",2021
"606","Ocimum basilicum L.","PH",2021
"607","Ocimum basilicum L.","BR",2018
"608","Ocimum basilicum L.","EC",2018
"609","Ocimum basilicum L.","AU",2020
"610","Ocimum basilicum L.","MX",2021
"611","Ocimum basilicum L.","SN",2020
"612","Ocimum basilicum L.","BR",2022
"613","Ocimum basilicum L.","US",2021
"614","Ocimum basilicum L.","BR",2020
"615","Ocimum basilicum L.","GP",2020
"616","Ocimum basilicum L.","BR",2020
"617","Ocimum basilicum L.","HK",2020
"618","Ocimum basilicum L.","BR",2020
"619","Ocimum basilicum L.","ES",2020
"620","Ocimum basilicum L.","BR",2020
"621","Ocimum basilicum L.","US",2020
"622","Ocimum basilicum L.","BR",2022
"623","Ocimum basilicum L.","PF",2021
"624","Ocimum basilicum L.","EC",2021
"625","Ocimum basilicum L.","BR",2020
"626","Ocimum basilicum L.","MX",2019
"627","Ocimum basilicum L.","IN",2020
"628","Ocimum basilicum L.","RU",2021
"629","Ocimum basilicum L.","BR",2018
"630","Ocimum basilicum L.","BR",2018
"631","Ocimum basilicum L.","IN",2018
"632","Ocimum basilicum L.","US",2016
"633","Ocimum basilicum L.","ID",2022
"634","Ocimum basilicum L.","IN",2022
"635","Ocimum basilicum L.","BR",2021
"636","Ocimum basilicum L.","GP",2021
"637","Ocimum basilicum L.","BR",2022
"638","Ocimum basilicum L.","BR",2022
"639","Ocimum basilicum L.","PA",2021
"640","Ocimum basilicum L.","NG",2021
"641","Ocimum basilicum L.","UA",2021
"642","Ocimum basilicum L.","IN",2021
"643","Ocimum basilicum L.","MY",2021
"644","Ocimum basilicum L.","VE",2022
"645","Ocimum basilicum L.","MX",2020
